DBID1,DBID2,label
DB01108,DB00381,0
DB01108,DB00381,0
DB01108,DB01611,0
DB01108,DB01097,0
DB00381,DB01611,0
DB00381,DB01097,0
DB01611,DB01097,0
DB00898,DB00898,0
DB00999,DB09338,0
DB00999,DB01108,0
DB00999,DB00783,0
DB09338,DB01108,0
DB09338,DB00783,0
DB01108,DB00783,0
DB01110,DB00381,1
DB00381,DB00518,1
DB00898,DB00898,0
DB00518,DB00518,0
DB00759,DB00759,0
DB00982,DB00982,0
DB00640,DB00381,0
DB00640,DB01110,0
DB00381,DB01110,0
DB00640,DB00640,0
DB01438,DB00404,1
DB00472,DB09536,0
DB00472,DB00781,0
DB09536,DB00781,0
DB01234,DB00819,0
DB01058,DB01058,0
DB01058,DB00819,0
DB01058,DB00819,1
DB11079,DB00683,0
DB00381,DB00518,0
DB00736,DB01511,0
DB00899,DB00630,1
DB00518,DB00683,1
DB00518,DB01086,1
DB00683,DB01086,0
DB01086,DB00518,1
DB01086,DB00518,0
DB01086,DB00518,0
DB00518,DB00518,0
DB00518,DB00518,0
DB00518,DB00518,0
DB00518,DB00518,0
DB00518,DB00518,0
DB01029,DB00518,1
DB00518,DB00518,0
DB00518,DB00518,0
DB00523,DB00548,1
DB00495,DB00781,0
DB00495,DB00523,0
DB00781,DB00523,0
DB00266,DB09154,0
DB00266,DB00266,0
DB09154,DB00266,0
DB00381,DB00381,0
DB00319,DB01060,0
DB00381,DB00531,0
DB00381,DB00381,0
DB00531,DB00381,0
DB00531,DB01168,0
DB00531,DB00888,0
DB01168,DB00888,0
DB00672,DB00672,0
DB00548,DB01171,0
DB00548,DB00918,0
DB01171,DB00918,1
DB00742,DB00918,0
DB00918,DB00918,0
DB00918,DB00918,0
DB00918,DB00918,0
DB00918,DB00918,0
DB00918,DB00918,0
DB00518,DB00518,0
DB00543,DB00518,1
DB00518,DB00781,1
DB00518,DB00381,0
DB00404,DB00555,1
DB00404,DB00548,1
DB00404,DB00898,1
DB00555,DB00548,0
DB00555,DB00898,0
DB00548,DB00898,0
DB00404,DB00404,0
DB00404,DB00404,0
DB00404,DB00404,0
DB00404,DB00404,0
DB00404,DB00404,0
DB00404,DB00404,0
DB00404,DB00404,0
DB00783,DB00404,1
DB00404,DB00404,0
DB00404,DB00404,0
DB00404,DB00404,0
DB00404,DB00404,0
DB00404,DB00781,0
DB00404,DB00404,0
DB00404,DB00404,0
DB00404,DB00404,0
DB00404,DB00781,0
DB00404,DB00404,0
DB00404,DB00404,0
DB00404,DB00781,0
DB00404,DB00404,0
DB00404,DB00781,0
DB00404,DB00781,1
DB00404,DB00404,0
DB00404,DB01118,1
DB00404,DB00670,1
DB01118,DB00670,0
DB00770,DB00518,0
DB00488,DB00458,1
DB00488,DB00488,0
DB00458,DB00488,0
DB01143,DB01511,1
DB00381,DB09338,0
DB01086,DB00819,1
DB00381,DB00759,0
DB00381,DB00855,1
DB00759,DB00855,1
DB00152,DB00233,1
DB01118,DB01118,0
DB01118,DB01118,0
DB01118,DB01118,0
DB01118,DB01118,0
DB01118,DB01118,0
DB05381,DB01118,0
DB01118,DB01118,0
DB01118,DB01118,0
DB00641,DB01118,0
DB01118,DB00518,1
DB00548,DB01118,0
DB01118,DB01118,0
DB01118,DB01118,0
DB01511,DB01118,0
DB09154,DB01118,0
DB01118,DB09154,0
DB06155,DB01118,0
DB01118,DB01118,0
DB01118,DB01118,0
DB01118,DB01118,0
DB01118,DB01118,0
DB01118,DB01118,0
DB01118,DB01118,0
DB01118,DB00363,0
DB01118,DB01118,0
DB00363,DB01118,0
DB01118,DB00781,0
DB00458,DB00458,0
DB00822,DB00122,0
DB00822,DB01086,0
DB00122,DB01086,0
DB00458,DB00122,1
DB00458,DB06155,0
DB00458,DB00122,0
DB00458,DB00201,0
DB00122,DB00201,0
DB00458,DB00458,0
DB01108,DB00927,0
DB00518,DB00518,0
DB01099,DB01099,0
DB00548,DB00548,0
DB00781,DB00778,0
DB00781,DB00759,0
DB00781,DB01511,0
DB00778,DB00759,0
DB00778,DB01511,1
DB00759,DB01511,1
DB00224,DB00701,1
DB01232,DB00701,1
DB00220,DB00701,1
DB11609,DB00701,0
DB00701,DB00701,0
DB00261,DB00261,0
DB00261,DB01592,0
DB00261,DB01005,0
DB01592,DB01005,0
DB01427,DB01166,0
DB01427,DB00261,1
DB01166,DB00261,1
DB09154,DB00736,1
DB09154,DB00736,1
DB09154,DB00898,1
DB09154,DB05381,1
DB09154,DB00475,1
DB09154,DB09338,1
DB09154,DB01437,1
DB09154,DB00783,1
DB09154,DB09462,1
DB09154,DB00682,1
DB00736,DB00898,0
DB00736,DB05381,0
DB00736,DB00475,0
DB00736,DB09338,0
DB00736,DB01437,0
DB00736,DB00783,0
DB00736,DB09462,0
DB00736,DB00682,0
DB00898,DB05381,0
DB00898,DB00475,0
DB00898,DB09338,0
DB00898,DB01437,0
DB00898,DB00783,0
DB00898,DB09462,0
DB00898,DB00682,0
DB05381,DB00475,0
DB05381,DB09338,0
DB05381,DB01437,0
DB05381,DB00783,0
DB05381,DB09462,0
DB05381,DB00682,0
DB00475,DB09338,0
DB00475,DB01437,0
DB00475,DB00783,0
DB00475,DB09462,0
DB00475,DB00682,0
DB09338,DB01437,0
DB09338,DB00783,0
DB09338,DB09462,0
DB09338,DB00682,0
DB01437,DB00783,0
DB01437,DB09462,0
DB01437,DB00682,0
DB00783,DB09462,0
DB00783,DB00682,0
DB09462,DB00682,0
DB09154,DB00898,1
DB09154,DB00898,1
DB09154,DB00233,1
DB09154,DB01118,1
DB09154,DB00781,1
DB09154,DB01511,1
DB09154,DB00518,1
DB09154,DB00822,1
DB09154,DB01511,1
DB09154,DB01086,1
DB09154,DB00784,1
DB09154,DB00548,1
DB09154,DB00779,1
DB09154,DB00806,1
DB09154,DB06691,1
DB09154,DB01086,1
DB09154,DB00819,1
DB09154,DB00979,1
DB09154,DB00605,1
DB09154,DB00682,1
DB00898,DB00233,0
DB00898,DB01118,0
DB00898,DB00781,0
DB00898,DB01511,0
DB00898,DB00518,0
DB00898,DB00822,0
DB00898,DB01511,0
DB00898,DB01086,0
DB00898,DB00784,0
DB00898,DB00548,0
DB00898,DB00779,0
DB00898,DB00806,0
DB00898,DB06691,0
DB00898,DB01086,0
DB00898,DB00819,0
DB00898,DB00979,0
DB00898,DB00605,0
DB00898,DB00682,0
DB00233,DB01118,0
DB00233,DB00781,0
DB00233,DB01511,0
DB00233,DB00518,0
DB00233,DB00822,0
DB00233,DB01511,0
DB00233,DB01086,0
DB00233,DB00784,0
DB00233,DB00548,0
DB00233,DB00779,0
DB00233,DB00806,0
DB00233,DB06691,0
DB00233,DB01086,0
DB00233,DB00819,0
DB00233,DB00979,0
DB00233,DB00605,0
DB00233,DB00682,0
DB01118,DB00781,0
DB01118,DB01511,0
DB01118,DB00518,0
DB01118,DB00822,0
DB01118,DB01511,0
DB01118,DB01086,0
DB01118,DB00784,0
DB01118,DB00548,0
DB01118,DB00779,0
DB01118,DB00806,0
DB01118,DB06691,0
DB01118,DB01086,0
DB01118,DB00819,0
DB01118,DB00979,0
DB01118,DB00605,0
DB01118,DB00682,0
DB00781,DB01511,0
DB00781,DB00518,0
DB00781,DB00822,0
DB00781,DB01511,0
DB00781,DB01086,0
DB00781,DB00784,0
DB00781,DB00548,0
DB00781,DB00779,0
DB00781,DB00806,0
DB00781,DB06691,0
DB00781,DB01086,0
DB00781,DB00819,0
DB00781,DB00979,0
DB00781,DB00605,0
DB00781,DB00682,0
DB01511,DB00518,0
DB01511,DB00822,0
DB01511,DB01511,0
DB01511,DB01086,0
DB01511,DB00784,0
DB01511,DB00548,0
DB01511,DB00779,0
DB01511,DB00806,0
DB01511,DB06691,0
DB01511,DB01086,0
DB01511,DB00819,0
DB01511,DB00979,0
DB01511,DB00605,0
DB01511,DB00682,0
DB00518,DB00822,0
DB00518,DB01511,0
DB00518,DB01086,0
DB00518,DB00784,0
DB00518,DB00548,0
DB00518,DB00779,0
DB00518,DB00806,0
DB00518,DB06691,0
DB00518,DB01086,0
DB00518,DB00819,0
DB00518,DB00979,0
DB00518,DB00605,0
DB00518,DB00682,0
DB00822,DB01511,0
DB00822,DB01086,0
DB00822,DB00784,0
DB00822,DB00548,0
DB00822,DB00779,0
DB00822,DB00806,0
DB00822,DB06691,0
DB00822,DB01086,0
DB00822,DB00819,0
DB00822,DB00979,0
DB00822,DB00605,0
DB00822,DB00682,0
DB01511,DB01086,0
DB01511,DB00784,0
DB01511,DB00548,0
DB01511,DB00779,0
DB01511,DB00806,0
DB01511,DB06691,0
DB01511,DB01086,0
DB01511,DB00819,0
DB01511,DB00979,0
DB01511,DB00605,0
DB01511,DB00682,0
DB01086,DB00784,0
DB01086,DB00548,0
DB01086,DB00779,0
DB01086,DB00806,0
DB01086,DB06691,0
DB01086,DB01086,0
DB01086,DB00819,0
DB01086,DB00979,0
DB01086,DB00605,0
DB01086,DB00682,0
DB00784,DB00548,0
DB00784,DB00779,0
DB00784,DB00806,0
DB00784,DB06691,0
DB00784,DB01086,0
DB00784,DB00819,0
DB00784,DB00979,0
DB00784,DB00605,0
DB00784,DB00682,0
DB00548,DB00779,0
DB00548,DB00806,0
DB00548,DB06691,0
DB00548,DB01086,0
DB00548,DB00819,0
DB00548,DB00979,0
DB00548,DB00605,0
DB00548,DB00682,0
DB00779,DB00806,0
DB00779,DB06691,0
DB00779,DB01086,0
DB00779,DB00819,0
DB00779,DB00979,0
DB00779,DB00605,0
DB00779,DB00682,0
DB00806,DB06691,0
DB00806,DB01086,0
DB00806,DB00819,0
DB00806,DB00979,0
DB00806,DB00605,0
DB00806,DB00682,0
DB06691,DB01086,0
DB06691,DB00819,0
DB06691,DB00979,0
DB06691,DB00605,0
DB06691,DB00682,0
DB01086,DB00819,0
DB01086,DB00979,0
DB01086,DB00605,0
DB01086,DB00682,0
DB00819,DB00979,0
DB00819,DB00605,0
DB00819,DB00682,0
DB00979,DB00605,0
DB00979,DB00682,0
DB00605,DB00682,0
DB00555,DB09154,0
DB00381,DB00518,0
DB00714,DB00714,0
DB00714,DB00889,0
DB00714,DB00757,0
DB00714,DB00518,0
DB00714,DB00889,1
DB00714,DB00757,1
DB00714,DB00518,1
DB00889,DB00757,0
DB00889,DB00518,0
DB00757,DB00518,0
DB01511,DB01511,0
DB00988,DB00714,0
DB00988,DB00988,0
DB00988,DB00988,0
DB00988,DB01511,0
DB00988,DB00714,0
DB00714,DB00988,0
DB00714,DB00988,0
DB00714,DB01511,0
DB00714,DB00714,0
DB00988,DB00988,0
DB00988,DB01511,0
DB00988,DB00714,0
DB00988,DB01511,0
DB00988,DB00714,0
DB01511,DB00714,1
DB00575,DB01626,1
DB00964,DB00898,1
DB00964,DB01086,1
DB00898,DB01086,0
DB00575,DB01511,1
DB00673,DB00682,1
DB00673,DB00673,0
DB00673,DB00889,0
DB01108,DB01234,0
DB01108,DB00673,0
DB01108,DB00673,0
DB01234,DB00673,0
DB01234,DB00673,0
DB00673,DB00673,0
DB00673,DB00673,0
DB00673,DB00673,0
DB00673,DB00682,0
DB00673,DB00682,0
DB00673,DB00682,0
DB00673,DB00673,0
DB00682,DB00682,0
DB00682,DB00682,0
DB00682,DB00673,0
DB00682,DB00682,0
DB00682,DB00673,0
DB00682,DB00673,1
DB00673,DB00673,0
DB00783,DB00673,0
DB00783,DB00673,1
DB00673,DB00783,1
DB00683,DB00673,0
DB00683,DB00673,0
DB00673,DB00673,0
DB00404,DB09096,0
DB00404,DB00673,1
DB09096,DB00673,1
DB00673,DB00673,0
DB00673,DB00673,0
DB00673,DB00673,0
DB00673,DB00673,1
DB00673,DB00673,0
DB00673,DB00673,0
DB00673,DB00673,0
DB00673,DB00673,0
DB00673,DB00673,0
DB00673,DB00673,0
DB00673,DB00673,0
DB00673,DB00673,0
DB00673,DB00673,0
DB00381,DB01102,0
DB00381,DB01102,1
DB00381,DB01102,0
DB00458,DB00122,0
DB00458,DB00518,0
DB00458,DB01102,0
DB00122,DB00518,0
DB00122,DB01102,0
DB00518,DB01102,0
DB01511,DB01274,1
DB01108,DB09338,0
DB01108,DB01511,1
DB09338,DB01511,1
DB01274,DB00548,1
DB01274,DB00458,1
DB01274,DB01511,0
DB00548,DB00458,0
DB00548,DB01511,1
DB00458,DB01511,1
DB01274,DB01274,0
DB01274,DB01274,0
DB01511,DB01274,1
DB00278,DB00278,0
DB00278,DB00278,0
DB00278,DB00278,0
DB00278,DB00278,0
DB00381,DB00278,0
DB00381,DB00278,0
DB00381,DB00381,0
DB00278,DB00381,0
DB00278,DB00381,1
DB00819,DB01238,0
DB00819,DB01110,0
DB00819,DB00898,0
DB01238,DB01110,1
DB01238,DB00898,1
DB01110,DB00898,0
DB00819,DB00381,1
DB01238,DB00819,0
DB00819,DB00819,0
DB00819,DB00819,0
DB00819,DB00819,0
DB00819,DB00819,0
DB00819,DB00819,0
DB00819,DB01238,0
DB00819,DB01238,0
DB00819,DB00819,0
DB01238,DB00819,0
DB00898,DB00819,0
DB00898,DB00898,0
DB00898,DB00898,0
DB00819,DB00898,0
DB00819,DB00898,0
DB00898,DB00898,0
DB00898,DB01238,1
DB01169,DB09338,1
DB00518,DB00518,0
DB00778,DB00778,0
DB00518,DB00289,0
DB00518,DB00518,0
DB00518,DB00518,0
DB00289,DB00518,1
DB00289,DB00518,0
DB00518,DB00518,0
DB00289,DB00289,0
DB00289,DB00289,0
DB01435,DB06155,0
DB01117,DB01117,0
DB00781,DB00548,0
DB00732,DB00781,1
DB00732,DB00548,1
DB00781,DB00548,0
DB00202,DB00732,1
DB00732,DB00202,1
DB00859,DB00704,0
DB00859,DB00859,0
DB00704,DB00859,0
DB01626,DB05381,1
DB05381,DB00898,1
DB05381,DB00458,1
DB00898,DB00458,0
DB01110,DB01110,0
DB00852,DB00900,0
DB00852,DB00625,0
DB00852,DB09096,0
DB00900,DB00625,0
DB00900,DB09096,0
DB00625,DB09096,0
DB08795,DB00955,1
DB08795,DB00684,1
DB00955,DB00684,0
DB01014,DB00781,0
DB01014,DB00244,0
DB00781,DB00244,0
DB00518,DB05381,0
DB00518,DB09338,0
DB00518,DB00518,0
DB05381,DB09338,0
DB05381,DB00518,0
DB09338,DB00518,0
DB09338,DB09338,0
DB09338,DB01054,0
DB09338,DB01054,1
DB01054,DB09338,0
DB01054,DB01054,0
DB09338,DB01054,1
DB01054,DB00310,0
DB01054,DB00381,0
DB01054,DB09338,0
DB00381,DB09338,0
DB01086,DB02701,0
DB00548,DB00548,1
DB00182,DB01511,1
DB00182,DB00458,1
DB00898,DB01050,0
DB09462,DB01244,0
DB00381,DB01244,0
DB00381,DB00381,0
DB01244,DB00381,0
DB01244,DB00381,0
DB01244,DB00381,0
DB00195,DB00310,0
DB00195,DB09154,0
DB00307,DB00307,0
DB00307,DB00307,0
DB01128,DB09154,1
DB00122,DB00609,0
DB00122,DB11079,1
DB00122,DB00458,1
DB00122,DB05381,1
DB00609,DB11079,1
DB00609,DB00458,1
DB00609,DB05381,1
DB11079,DB00458,0
DB11079,DB05381,0
DB00458,DB05381,0
DB00612,DB00381,1
DB00612,DB00548,1
DB00612,DB00670,1
DB00612,DB00381,1
DB00612,DB00548,1
DB00548,DB00670,0
DB00548,DB00381,0
DB00548,DB00548,0
DB00670,DB00381,0
DB00670,DB00548,0
DB00381,DB00548,0
DB00612,DB00612,0
DB01108,DB01108,0
DB00006,DB00518,0
DB00781,DB09338,0
DB00518,DB00783,0
DB00518,DB00559,0
DB00518,DB00518,0
DB00518,DB00977,0
DB00783,DB00559,0
DB00783,DB00518,0
DB00783,DB00977,0
DB00559,DB00518,0
DB00559,DB00977,1
DB00518,DB00977,0
DB00518,DB00559,1
DB00091,DB00559,0
DB00559,DB00091,1
DB00559,DB00091,1
DB00559,DB00091,1
DB00559,DB00559,0
DB00559,DB00381,0
DB00559,DB00381,1
DB00559,DB00559,0
DB00559,DB00559,0
DB00641,DB00559,0
DB00559,DB00559,0
DB00393,DB00678,0
DB00393,DB00559,0
DB00393,DB00393,0
DB00393,DB00678,0
DB00393,DB00559,0
DB00678,DB00559,0
DB00678,DB00393,0
DB00678,DB00678,0
DB00678,DB00559,0
DB00559,DB00393,0
DB00559,DB00678,0
DB00559,DB00559,0
DB00393,DB00678,0
DB00393,DB00559,0
DB00678,DB00559,0
DB00548,DB00593,0
DB00548,DB00593,0
DB00548,DB00462,0
DB00484,DB00898,1
DB00484,DB01086,1
DB00898,DB01086,0
DB00458,DB00484,0
DB01194,DB01194,0
DB01194,DB09462,0
DB01194,DB09462,0
DB01194,DB01194,0
DB00405,DB00898,1
DB00405,DB05381,0
DB00405,DB00122,1
DB00405,DB05381,0
DB00405,DB00548,1
DB00405,DB05381,0
DB00405,DB05381,0
DB00898,DB05381,0
DB00898,DB00122,0
DB00898,DB05381,0
DB00898,DB00548,0
DB00898,DB05381,0
DB00898,DB05381,0
DB05381,DB00122,0
DB05381,DB05381,0
DB05381,DB00548,0
DB05381,DB05381,0
DB05381,DB05381,0
DB00122,DB05381,0
DB00122,DB00548,0
DB00122,DB05381,0
DB00122,DB05381,0
DB05381,DB00548,0
DB05381,DB05381,0
DB05381,DB05381,0
DB00548,DB05381,0
DB00548,DB05381,0
DB05381,DB05381,0
DB00898,DB05381,0
DB00898,DB00122,0
DB00898,DB05381,0
DB00898,DB00548,0
DB00898,DB05381,0
DB00898,DB05381,0
DB05381,DB00122,0
DB05381,DB05381,0
DB05381,DB00548,0
DB05381,DB05381,0
DB05381,DB05381,0
DB00122,DB05381,0
DB00122,DB00548,0
DB00122,DB05381,0
DB00122,DB05381,0
DB05381,DB00548,0
DB05381,DB05381,0
DB05381,DB05381,0
DB00548,DB05381,0
DB00548,DB05381,0
DB05381,DB05381,0
DB01110,DB01260,1
DB00328,DB00328,0
DB01511,DB01511,0
DB01086,DB00548,0
DB01086,DB00458,0
DB00548,DB00458,0
DB00781,DB00921,0
DB00781,DB01183,0
DB00921,DB01183,0
DB00921,DB01183,0
DB01183,DB00921,0
DB01156,DB01156,0
DB01156,DB01173,1
DB01156,DB00531,1
DB01173,DB00531,0
DB01156,DB01156,0
DB00458,DB00734,0
DB01626,DB01626,0
DB01156,DB00458,1
DB01156,DB01108,1
DB00458,DB01108,0
DB00898,DB00898,0
DB00898,DB00898,0
DB00898,DB01156,0
DB00898,DB00898,0
DB00898,DB01156,0
DB00898,DB01156,1
DB00898,DB01156,1
DB00490,DB01626,1
DB00490,DB00490,0
DB00490,DB00490,0
DB01626,DB00490,0
DB01626,DB00490,0
DB00490,DB00490,0
DB00656,DB00656,0
DB00656,DB00490,1
DB00656,DB00490,1
DB00904,DB00889,0
DB00904,DB00889,0
DB00904,DB01008,0
DB00889,DB00889,0
DB00889,DB01008,0
DB00889,DB01008,0
DB01008,DB01008,0
DB00783,DB00783,0
DB00241,DB00548,1
DB00241,DB11079,1
DB00241,DB00898,1
DB00241,DB01086,1
DB00241,DB00683,1
DB00241,DB00475,1
DB11079,DB00898,0
DB11079,DB01086,0
DB11079,DB00683,0
DB11079,DB00475,0
DB00898,DB01086,0
DB00898,DB00683,0
DB00898,DB00475,0
DB01086,DB00683,0
DB01086,DB00475,0
DB00683,DB00475,0
DB01091,DB01091,0
DB00898,DB00683,0
DB00898,DB05381,0
DB00683,DB05381,0
DB00611,DB06711,0
DB00611,DB06711,1
DB00136,DB00548,0
DB00548,DB00136,0
DB00999,DB00999,0
DB00999,DB00548,1
DB00518,DB00548,0
DB00518,DB00518,0
DB00548,DB00518,1
DB01108,DB01108,0
DB01378,DB01378,0
DB01378,DB00548,0
DB01378,DB00548,1
DB00136,DB00548,0
DB00548,DB00136,0
DB00999,DB00999,0
DB00999,DB00548,1
DB00518,DB00548,0
DB00518,DB00518,0
DB00548,DB00518,1
DB01108,DB01108,0
DB01378,DB01378,0
DB01378,DB00548,0
DB01378,DB00548,1
DB01326,DB00518,0
DB01326,DB00433,0
DB00518,DB00433,0
DB00783,DB00977,0
DB06723,DB00518,0
DB06723,DB01101,0
DB00518,DB01101,0
DB01101,DB00946,1
DB11596,DB00544,0
DB09338,DB09338,0
DB09338,DB09338,0
DB09338,DB09338,0
DB09338,DB00999,0
DB00381,DB00381,0
DB00564,DB01406,1
DB00564,DB00627,1
DB00564,DB02701,1
DB00564,DB01369,1
DB01406,DB00627,0
DB01406,DB02701,0
DB01406,DB01369,0
DB00627,DB02701,0
DB00627,DB01369,0
DB02701,DB01369,0
DB00564,DB00564,0
DB00564,DB00949,1
DB00564,DB00564,0
DB00564,DB00564,0
DB00949,DB00564,0
DB00949,DB00564,0
DB00564,DB00564,0
DB00564,DB00404,1
DB00564,DB00349,1
DB00564,DB01068,1
DB00564,DB00670,1
DB00564,DB00266,1
DB00564,DB00593,1
DB00564,DB00949,1
DB00564,DB00381,1
DB00564,DB00736,1
DB00564,DB00555,1
DB00564,DB00363,1
DB00564,DB00783,1
DB00564,DB00776,1
DB00564,DB01058,1
DB00564,DB01224,1
DB00564,DB00734,1
DB00564,DB00273,1
DB00564,DB00441,1
DB00564,DB09096,1
DB00564,DB00909,1
DB00404,DB00349,0
DB00404,DB01068,0
DB00404,DB00670,0
DB00404,DB00266,0
DB00404,DB00593,0
DB00404,DB00949,0
DB00404,DB00381,0
DB00404,DB00736,0
DB00404,DB00555,0
DB00404,DB00363,0
DB00404,DB00783,0
DB00404,DB00776,0
DB00404,DB01058,0
DB00404,DB01224,0
DB00404,DB00734,0
DB00404,DB00273,0
DB00404,DB00441,0
DB00404,DB09096,0
DB00404,DB00909,0
DB00349,DB01068,0
DB00349,DB00670,0
DB00349,DB00266,0
DB00349,DB00593,0
DB00349,DB00949,0
DB00349,DB00381,0
DB00349,DB00736,0
DB00349,DB00555,0
DB00349,DB00363,0
DB00349,DB00783,0
DB00349,DB00776,0
DB00349,DB01058,0
DB00349,DB01224,0
DB00349,DB00734,0
DB00349,DB00273,0
DB00349,DB00441,0
DB00349,DB09096,0
DB00349,DB00909,0
DB01068,DB00670,0
DB01068,DB00266,0
DB01068,DB00593,0
DB01068,DB00949,0
DB01068,DB00381,0
DB01068,DB00736,0
DB01068,DB00555,0
DB01068,DB00363,0
DB01068,DB00783,0
DB01068,DB00776,0
DB01068,DB01058,0
DB01068,DB01224,0
DB01068,DB00734,0
DB01068,DB00273,0
DB01068,DB00441,0
DB01068,DB09096,0
DB01068,DB00909,0
DB00670,DB00266,0
DB00670,DB00593,0
DB00670,DB00949,0
DB00670,DB00381,0
DB00670,DB00736,0
DB00670,DB00555,0
DB00670,DB00363,0
DB00670,DB00783,0
DB00670,DB00776,0
DB00670,DB01058,0
DB00670,DB01224,0
DB00670,DB00734,0
DB00670,DB00273,0
DB00670,DB00441,0
DB00670,DB09096,0
DB00670,DB00909,0
DB00266,DB00593,0
DB00266,DB00949,0
DB00266,DB00381,0
DB00266,DB00736,0
DB00266,DB00555,0
DB00266,DB00363,0
DB00266,DB00783,0
DB00266,DB00776,0
DB00266,DB01058,0
DB00266,DB01224,0
DB00266,DB00734,0
DB00266,DB00273,0
DB00266,DB00441,0
DB00266,DB09096,0
DB00266,DB00909,0
DB00593,DB00949,0
DB00593,DB00381,0
DB00593,DB00736,0
DB00593,DB00555,0
DB00593,DB00363,0
DB00593,DB00783,0
DB00593,DB00776,0
DB00593,DB01058,0
DB00593,DB01224,0
DB00593,DB00734,0
DB00593,DB00273,0
DB00593,DB00441,0
DB00593,DB09096,0
DB00593,DB00909,0
DB00949,DB00381,0
DB00949,DB00736,0
DB00949,DB00555,0
DB00949,DB00363,0
DB00949,DB00783,0
DB00949,DB00776,0
DB00949,DB01058,0
DB00949,DB01224,0
DB00949,DB00734,0
DB00949,DB00273,0
DB00949,DB00441,0
DB00949,DB09096,0
DB00949,DB00909,0
DB00381,DB00736,0
DB00381,DB00555,0
DB00381,DB00363,0
DB00381,DB00783,0
DB00381,DB00776,0
DB00381,DB01058,0
DB00381,DB01224,0
DB00381,DB00734,0
DB00381,DB00273,0
DB00381,DB00441,0
DB00381,DB09096,0
DB00381,DB00909,0
DB00736,DB00555,0
DB00736,DB00363,0
DB00736,DB00783,0
DB00736,DB00776,0
DB00736,DB01058,0
DB00736,DB01224,0
DB00736,DB00734,0
DB00736,DB00273,0
DB00736,DB00441,0
DB00736,DB09096,0
DB00736,DB00909,0
DB00555,DB00363,0
DB00555,DB00783,0
DB00555,DB00776,0
DB00555,DB01058,0
DB00555,DB01224,0
DB00555,DB00734,0
DB00555,DB00273,0
DB00555,DB00441,0
DB00555,DB09096,0
DB00555,DB00909,0
DB00363,DB00783,0
DB00363,DB00776,0
